Title,URL,Image URL,Price,Rating,Review Count
Apple iPhone 15 Plus (256 GB) - Yellow,https://www.amazon.in/Apple-iPhone-15-Plus-256/dp/B0CHWZ24KQ?ref_=ast_sto_dp&th=1&psc=1,https://m.media-amazon.com/images/I/713d2it9mhL._AC_CR0%2C0%2C0%2C0_SX352_SY330_.jpg,"₹94,900.00M.R.P.:₹99,900.00(5%off)",4.5 out of 5 stars,392
Apple iPhone 15 Plus (512 GB) - Green,https://www.amazon.in/Apple-iPhone-15-Plus-512/dp/B0CHXF9Q4H?ref_=ast_sto_dp&th=1&psc=1,https://m.media-amazon.com/images/I/71ZP6U9sWTL._AC_CR0%2C0%2C0%2C0_SX352_SY330_.jpg,"₹1,19,900.00",4.5 out of 5 stars,392
Apple iPhone 15 Plus (512 GB) - Yellow,https://www.amazon.in/Apple-iPhone-15-Plus-512/dp/B0CHX8CK97?ref_=ast_sto_dp&th=1&psc=1,https://m.media-amazon.com/images/I/713d2it9mhL._AC_CR0%2C0%2C0%2C0_SX352_SY330_.jpg,"₹1,19,900.00",4.5 out of 5 stars,392
Apple iPhone 15 Pro (1 TB) - Black Titanium,https://www.amazon.in/Apple-iPhone-15-Pro-TB/dp/B0CHXDTGPW?ref_=ast_sto_dp&th=1&psc=1,https://m.media-amazon.com/images/I/81+GIkwqLIL._AC_CR0%2C0%2C0%2C0_SX352_SY330_.jpg,"₹1,77,990.00M.R.P.:₹1,84,900.00(4%off)",4.2 out of 5 stars,159
Apple iPhone 15 Pro (1 TB) - Blue Titanium,https://www.amazon.in/Apple-iPhone-15-Pro-TB/dp/B0CHX7V9V9?ref_=ast_sto_dp&th=1&psc=1,https://m.media-amazon.com/images/I/81SigpJN1KL._AC_CR0%2C0%2C0%2C0_SX352_SY330_.jpg,"₹1,76,900.00M.R.P.:₹1,84,900.00(4%off)",4.2 out of 5 stars,159
Apple iPhone 15 Pro (1 TB) - Natural Titanium,https://www.amazon.in/Apple-iPhone-15-Pro-TB/dp/B0CHWWVSLF?ref_=ast_sto_dp&th=1&psc=1,https://m.media-amazon.com/images/I/81CgtwSII3L._AC_CR0%2C0%2C0%2C0_SX352_SY330_.jpg,"₹1,76,900.00M.R.P.:₹1,84,900.00(4%off)",4.2 out of 5 stars,159
Apple iPhone 15 Pro (1 TB) - White Titanium,https://www.amazon.in/Apple-iPhone-15-Pro-TB/dp/B0CHX8SYQJ?ref_=ast_sto_dp&th=1&psc=1,https://m.media-amazon.com/images/I/81qlME2wWmL._AC_CR0%2C0%2C0%2C0_SX352_SY330_.jpg,"₹1,77,990.00M.R.P.:₹1,84,900.00(4%off)",4.2 out of 5 stars,159
Apple iPhone 15 Pro (128 GB) - Black Titanium,https://www.amazon.in/Apple-iPhone-15-Pro-128/dp/B0CHX7V9TY?ref_=ast_sto_dp&th=1&psc=1,https://m.media-amazon.com/images/I/81+GIkwqLIL._AC_CR0%2C0%2C0%2C0_SX352_SY330_.jpg,"₹1,27,990.00M.R.P.:₹1,34,900.00(5%off)",4.2 out of 5 stars,159
Apple iPhone 15 Pro (128 GB) - Blue Titanium,https://www.amazon.in/Apple-iPhone-15-Pro-128/dp/B0CHX2DRGV?ref_=ast_sto_dp&th=1&psc=1,https://m.media-amazon.com/images/I/81SigpJN1KL._AC_CR0%2C0%2C0%2C0_SX352_SY330_.jpg,"₹1,27,990.00M.R.P.:₹1,34,900.00(5%off)",4.2 out of 5 stars,159
Apple iPhone 15 Pro (128 GB) - Natural Titanium,https://www.amazon.in/Apple-iPhone-15-Pro-128/dp/B0CHX7J4TL?ref_=ast_sto_dp&th=1&psc=1,https://m.media-amazon.com/images/I/81CgtwSII3L._AC_CR0%2C0%2C0%2C0_SX352_SY330_.jpg,"₹1,27,990.00M.R.P.:₹1,34,900.00(5%off)",4.2 out of 5 stars,159
Apple iPhone 15 Pro (128 GB) - White Titanium,https://www.amazon.in/Apple-iPhone-15-Pro-128/dp/B0CHX9N436?ref_=ast_sto_dp&th=1&psc=1,https://m.media-amazon.com/images/I/81qlME2wWmL._AC_CR0%2C0%2C0%2C0_SX352_SY330_.jpg,"₹1,27,990.00M.R.P.:₹1,34,900.00(5%off)",4.2 out of 5 stars,159
Apple iPhone 15 Pro (256 GB) - Black Titanium,https://www.amazon.in/Apple-iPhone-15-Pro-256/dp/B0CHX6M6C8?ref_=ast_sto_dp&th=1&psc=1,https://m.media-amazon.com/images/I/81+GIkwqLIL._AC_CR0%2C0%2C0%2C0_SX352_SY330_.jpg,"₹1,37,990.00M.R.P.:₹1,44,900.00(5%off)",4.2 out of 5 stars,159
Apple iPhone 15 Pro (256 GB) - Blue Titanium,https://www.amazon.in/Apple-iPhone-15-Pro-256/dp/B0CHWZ86W2?ref_=ast_sto_dp&th=1&psc=1,https://m.media-amazon.com/images/I/81SigpJN1KL._AC_CR0%2C0%2C0%2C0_SX352_SY330_.jpg,"₹1,37,990.00M.R.P.:₹1,44,900.00(5%off)",4.2 out of 5 stars,159
